"Read Details","خواندن جزئیات",module,Magento_AdminNotification
"Mark as Read","علامت گذاری به عنوان خوانده شده",module,Magento_AdminNotification
"Are you sure?","آیا شما مطمئن هستید?",module,Magento_AdminNotification
Remove,حذف,module,Magento_AdminNotification
"Messages Inbox","صندوق پیام‌های دریافتی",module,Magento_AdminNotification
"You have %1 new system messages","شما %1 پیام جدید دارید",module,Magento_AdminNotification
"You have %1 new system message","شما %1 پیام جدید دارید",module,Magento_AdminNotification
"Incoming Message","پیام های دریافتی",module,Magento_AdminNotification
close,بستن,module,Magento_AdminNotification
Notifications,"اطلاعیه ها",module,Magento_AdminNotification
"The message has been marked as Read.","پیام بعنوان خوانده شده علامتگذاری شده است.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","ما نتوانستیم این اعلان را به عنوان خوانده شده علامت گزاری کنیم زیرا آن یک خطا میباشد.",module,Magento_AdminNotification
"Please select messages.","لطفا پیام‌ها را انتخاب کنید.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","%1 اعلان به عنوان خوانده شده مشخص شده است.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","%1 اعلان حذف شده است.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","ما نتوانستیم پیام ها به دلیل خطا را حذف کنیم.",module,Magento_AdminNotification
"The message has been removed.","پیام برداشته شد.",module,Magento_AdminNotification
"1 Hour","1 ساعت",module,Magento_AdminNotification
"2 Hours","2 ساعت",module,Magento_AdminNotification
"6 Hours","6 ساعت",module,Magento_AdminNotification
"12 Hours","12 ساعت",module,Magento_AdminNotification
"24 Hours","24 ساعت",module,Magento_AdminNotification
critical,بحرانی,module,Magento_AdminNotification
major,عمده,module,Magento_AdminNotification
minor,جزئی,module,Magento_AdminNotification
notice,توجه,module,Magento_AdminNotification
"Wrong message type","نوع پيام نادرست",module,Magento_AdminNotification
"Wrong notification ID specified.","شماره شناسه مشخص شده اشتباه است.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} برای استفاده در محیط تولید اعلام آدرس پایه نا امن توصیه نمی شود. ما به شدت توصیه میکنیم این مقدار را در بخش <a href=""%1""> پیکربندی مگنتو </a> تغییردهید.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","لطفا برو به <a href=""%1""> مدیریت کش</a> و آنرا از نو بساز.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","ما قادر به همگام سازی یک یا چند فایل های رسانه ای نیستیم. لطفا برای جزئیات بیشتربه فایل وقایع مراحعه نمایید.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","همگام سازی ذخیره سازی رسانه ها کامل شده است.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","وب سرور شما نادرست است تنظیم و اجازه می دهد تا دسترسی های غیر مجاز به پرونده های حساس. با مدیر سرور خود تماس بگیرید.",module,Magento_AdminNotification
"System Messages:","پیامِ سیستم:",module,Magento_AdminNotification
"Critical System Messages","پیام های مهم سیستمی",module,Magento_AdminNotification
"Major System Messages","پیغام های سیستم عمده",module,Magento_AdminNotification
"System messages","پیام سیستم",module,Magento_AdminNotification
Close,بستن,module,Magento_AdminNotification
"See All (","دیدن همه",module,Magento_AdminNotification
"Please correct the data sent.","لطفا اطلاعات صحیح ارسال کنید.",module,Magento_AdvancedPricingImportExport
"There are no product types available for export","هيچ نوع محصول در دسترس براي صادرات وجود ندارد",module,Magento_AdvancedPricingImportExport
authorize,"اجازه دادن",module,Magento_Authorizenet
"authorize and capture","اجازه و گرفتن",module,Magento_Authorizenet
capture,گرفتن,module,Magento_Authorizenet
refund,استرداد,module,Magento_Authorizenet
void,"از درجه اعتبار ساقط",module,Magento_Authorizenet
"Invalid amount for capture.","مقدار نامعتبر برای جذب.",module,Magento_Authorizenet
"Payment capturing error.","خطا گرفتن پرداخت.",module,Magento_Authorizenet
"Invalid amount for refund.","مقدار نامعتبر برای بازپرداخت.",module,Magento_Authorizenet
"Payment refunding error.","خطا استرداد پرداخت.",module,Magento_Authorizenet
"Authorize Only","تنها تصویب کردن",module,Magento_Authorizenet
"Authorize and Capture","تصویب کردن و ضبط",module,Magento_Authorizenet
"Credit Card Type","نوع کارت اعتباري",module,Magento_Authorizenet
"Credit Card Number","شماره کارت اعتباري",module,Magento_Authorizenet
"Expiration Date","تاريخ انقضا",module,Magento_Authorizenet
"Card Verification Number","تاييد شماره كارت",module,Magento_Authorizenet
"Invalid Form Key. Please refresh the page.","کلید فرم نامعتبر. لطفا صفحه را رفرش نمایید.",module,Magento_Backend
"Cache Storage Management","مدیریت مخزن کش",module,Magento_Backend
"Flush Magento Cache","تخلیه‌ی کش مجنتو",module,Magento_Backend
"Flush Cache Storage","تخلیه‌ی مخزن کش",module,Magento_Backend
Invalidated,باطل,module,Magento_Backend
Orders,سفارشات,module,Magento_Backend
Amounts,مبالغ,module,Magento_Backend
Bestsellers,پرفروش‌ها,module,Magento_Backend
"Most Viewed Products","محصولات با بیشترین بازدید",module,Magento_Backend
"New Customers","مشتریان جدید",module,Magento_Backend
Customers,مشتریان,module,Magento_Backend
Customer,مشتري,module,Magento_Backend
Guest,مهمان,module,Magento_Backend
Items,"آیتم ها",module,Magento_Backend
Total,مجموع,module,Magento_Backend
